,original_title,genre,release_year,runtime,prediction
245,The Smurfs,"Animation,Family,Adventure,Comedy,Fantasy",2011,103,0.0
246,Home on the Range,"Animation,Family",2004,76,1.0
247,Allegiant,"Adventure,Science Fiction",2016,121,1.0
248,Real Steel,"Action,Science Fiction,Drama",2011,127,0.0
249,The Smurfs 2,"Fantasy,Family,Comedy,Animation",2013,105,1.0
250,Speed 2 Cruise Control,"Action,Adventure,Thriller",1997,121,1.0
251,Ender's Game,"Science Fiction,Action,Adventure",2013,114,1.0
252,Live Free or Die Hard,"Action,Thriller",2007,128,0.0
253,The Lord of the Rings The Fellowship of the Ring,"Adventure,Fantasy,Action",2001,178,0.0
254,Around the World in 80 Days,"Action,Adventure,Comedy",2004,120,0.0
255,Ali,Drama,2001,157,0.0
256,"I, Robot","Action,Science Fiction",2004,115,1.0
257,Kingdom of Heaven,"Drama,Action,Adventure,History,War",2005,144,1.0
258,Stuart Little,"Animation,Fantasy,Family,Comedy",1999,84,0.0
259,The Princess and the Frog,"Romance,Family,Animation,Music",2009,97,0.0
260,The Martian,"Drama,Adventure,Science Fiction",2015,141,1.0
261,The Island,"Action,Thriller,Science Fiction,Adventure",2005,136,1.0
262,Town & Country,"Comedy,Romance",2001,104,0.0
263,Gone in Sixty Seconds,"Action,Crime,Thriller",2000,118,1.0
264,Gladiator,"Action,Drama,Adventure",2000,155,0.0
265,Minority Report,"Action,Thriller,Science Fiction,Mystery",2002,145,0.0
266,Harry Potter and the Chamber of Secrets,"Adventure,Fantasy,Family",2002,161,1.0
267,Casino Royale,"Adventure,Action,Thriller",2006,144,1.0
268,Planet of the Apes,"Thriller,Science Fiction,Action,Adventure",2001,119,0.0
269,Terminator 2 Judgment Day,"Action,Thriller,Science Fiction",1991,137,1.0
270,Public Enemies,"History,Crime,Drama",2009,140,0.0
271,American Gangster,"Drama,Crime",2007,157,1.0
272,True Lies,"Action,Thriller",1994,141,1.0
273,The Taking of Pelham 1 2 3,"Thriller,Drama,Crime",2009,106,0.0
274,Little Fockers,"Comedy,Romance",2010,98,0.0
275,The Other Guys,"Action,Comedy,Crime",2010,107,0.0
276,Eraser,"Action,Drama,Mystery,Thriller",1996,115,1.0
277,Django Unchained,"Drama,Western",2012,165,0.0
278,The Hunchback of Notre Dame,"Drama,Animation,Family",1996,91,1.0
279,The Emperor's New Groove,"Adventure,Animation,Comedy,Family,Fantasy",2000,78,0.0
280,The Expendables 2,"Action,Adventure,Thriller",2012,103,1.0
281,National Treasure,"Adventure,Action,Thriller,Mystery",2004,131,1.0
282,Eragon,"Fantasy,Action,Adventure,Family",2006,104,1.0
283,Where the Wild Things Are,"Family,Fantasy",2009,101,1.0
284,Epic,"Animation,Adventure,Family,Fantasy",2013,102,1.0
285,The Tourist,"Action,Thriller,Romance",2010,103,3.0
286,End of Days,"Action,Fantasy,Horror,Mystery",1999,121,0.0
287,Blood Diamond,"Drama,Thriller,Action",2006,143,0.0
288,The Wolf of Wall Street,"Crime,Drama,Comedy",2013,180,0.0
289,Batman Forever,"Action,Crime,Fantasy",1995,121,1.0
290,Starship Troopers,"Adventure,Action,Thriller,Science Fiction",1997,129,1.0
291,Cloud Atlas,"Drama,Science Fiction",2012,172,1.0
292,Legend of the Guardians The Owls of Ga'Hoole,"Animation,Adventure,Family,Fantasy",2010,97,0.0
293,Catwoman,"Action,Crime",2004,104,1.0
294,Hercules,"Action,Adventure",2014,99,1.0
295,Treasure Planet,"Adventure,Animation,Family,Fantasy,Science Fiction",2002,95,1.0
296,Land of the Lost,"Adventure,Comedy,Science Fiction",2009,102,1.0
297,The Expendables 3,"Action,Adventure,Thriller",2014,127,0.0
298,Point Break,"Action,Crime,Thriller",2015,114,1.0
299,In the Heart of the Sea,"Thriller,Drama,Adventure,Action,History",2015,122,0.0
300,The Adventures of Pluto Nash,"Action,Comedy,Science Fiction",2002,95,1.0
301,Green Zone,"War,Action,Adventure,Drama,Thriller",2010,115,1.0
302,The Peanuts Movie,Animation,2015,88,1.0
303,The Spanish Prisoner,"Crime,Drama,Mystery,Thriller",1997,110,1.0
304,The Mummy Returns,"Adventure,Action,Fantasy",2001,130,1.0
305,Gangs of New York,"Drama,History,Crime",2002,167,1.0
306,Surf's Up,"Animation,Comedy,Family",2007,85,1.0
307,The Stepford Wives,"Action,Comedy,Science Fiction",2004,93,0.0
308,Black Hawk Down,"Action,History,War",2001,144,1.0
309,The Fifth Element,"Adventure,Fantasy,Action,Thriller,Science Fiction",1997,126,1.0
310,Sex and the City 2,"Comedy,Drama,Romance",2010,146,1.0
311,The Road to El Dorado,"Adventure,Animation,Comedy,Family",2000,89,1.0
312,Ice Age Continental Drift,"Animation,Comedy,Adventure,Family",2012,88,0.0
313,Cinderella,"Romance,Fantasy,Family,Drama",2015,105,3.0
314,The Lovely Bones,"Fantasy,Drama",2009,136,1.0
315,Finding Nemo,"Animation,Family",2003,100,1.0
316,The Lord of the Rings The Return of the King,"Adventure,Fantasy,Action",2003,201,1.0
317,The Lord of the Rings The Two Towers,"Adventure,Fantasy,Action",2002,179,1.0
318,Seventh Son,"Adventure,Fantasy",2014,102,1.0
319,Lara Croft Tomb Raider,"Adventure,Fantasy,Action,Thriller",2001,100,1.0
320,Transcendence,"Thriller,Science Fiction,Drama,Mystery",2014,119,0.0
321,Jurassic Park III,"Adventure,Action,Thriller,Science Fiction",2001,92,0.0
322,Rise of the Planet of the Apes,"Thriller,Action,Drama,Science Fiction",2011,105,0.0
323,The Spiderwick Chronicles,"Adventure,Family,Fantasy",2008,95,1.0
324,A Good Day to Die Hard,"Action,Thriller",2013,98,1.0
325,The Alamo,"Western,History,War",2004,137,0.0
326,The Incredibles,"Action,Adventure,Animation,Family",2004,115,1.0
327,Cutthroat Island,"Action,Adventure",1995,119,0.0
328,Percy Jackson & the Olympians The Lightning Thief,"Adventure,Fantasy,Family",2010,118,1.0
329,Men in Black,"Action,Adventure,Comedy,Science Fiction",1997,98,2.0
330,Toy Story 2,"Animation,Comedy,Family",1999,92,0.0
331,Unstoppable,"Action,Thriller",2010,98,1.0
332,Rush Hour 2,"Action,Comedy,Crime,Thriller",2001,90,1.0
333,What Lies Beneath,"Drama,Horror,Mystery,Thriller",2000,130,0.0
334,Cloudy with a Chance of Meatballs,"Animation,Comedy,Family",2009,90,0.0
335,Ice Age Dawn of the Dinosaurs,"Animation,Comedy,Family,Adventure",2009,94,1.0
336,The Secret Life of Walter Mitty,"Adventure,Comedy,Drama,Fantasy",2013,114,0.0
337,Charlie's Angels,"Action,Adventure,Comedy,Crime,Thriller",2000,98,1.0
338,The Departed,"Drama,Thriller,Crime",2006,151,1.0
339,Mulan,"Animation,Family,Adventure",1998,88,0.0
340,Tropic Thunder,"Action,Comedy",2008,107,1.0
341,The Girl with the Dragon Tattoo,"Thriller,Crime,Mystery,Drama",2011,158,0.0
342,Die Hard With a Vengeance,"Action,Thriller",1995,128,0.0
343,Sherlock Holmes,"Action,Adventure,Crime,Mystery",2009,128,1.0
344,BenHur,Drama,2016,125,1.0
345,Atlantis The Lost Empire,"Animation,Family,Adventure,Science Fiction",2001,95,0.0
346,Valkyrie,"Drama,Thriller,History,War",2008,121,0.0
347,You Don't Mess with the Zohan,"Comedy,Action",2008,113,1.0
348,Pixels,"Action,Comedy,Science Fiction",2015,105,0.0
349,A.I. Artificial Intelligence,"Drama,Science Fiction,Adventure",2001,146,1.0
350,The Haunted Mansion,"Thriller,Fantasy,Comedy,Family,Mystery",2003,99,0.0
351,Contact,"Drama,Science Fiction,Mystery",1997,150,0.0
352,Hollow Man,"Action,Science Fiction,Thriller",2000,112,0.0
353,The Interpreter,"Crime,Thriller",2005,128,0.0
354,Percy Jackson Sea of Monsters,"Adventure,Family,Fantasy",2013,106,1.0
355,Lara Croft Tomb Raider The Cradle of Life,"Action,Adventure,Fantasy,Thriller",2003,117,1.0
356,Now You See Me 2,"Action,Adventure,Comedy,Crime,Mystery,Thriller",2016,129,1.0
357,The Saint,"Thriller,Action,Romance,Science Fiction,Adventure",1997,116,0.0
358,Spy Game,"Action,Crime,Thriller",2001,126,1.0
359,Mission to Mars,Science Fiction,2000,114,1.0
360,Rio,"Animation,Adventure,Comedy,Family",2011,96,0.0
361,Bicentennial Man,"Comedy,Science Fiction",1999,131,0.0
362,The Devil's Own,"Crime,Thriller,Drama",1997,107,0.0
363,K19 The Widowmaker,"Drama,History,Thriller",2002,138,1.0
364,Conan the Barbarian,"Adventure,Fantasy,Action",1982,129,0.0
365,Cinderella Man,"Romance,Drama,History",2005,144,0.0
366,The Nutcracker The Untold Story,"Fantasy,Action,Family",2010,110,1.0
367,Seabiscuit,"Drama,History",2003,141,1.0
368,Twister,"Action,Adventure,Drama",1996,113,0.0
369,Cast Away,"Adventure,Drama",2000,143,0.0
370,Happy Feet,"Animation,Comedy",2006,108,2.0
371,The Bourne Supremacy,"Action,Drama,Thriller",2004,108,1.0
372,Air Force One,"Action,Thriller",1997,124,0.0
373,Ocean's Eleven,"Thriller,Crime",2001,116,1.0
374,The Three Musketeers,"Adventure,Action,Thriller",2011,110,0.0
375,Hotel Transylvania,"Animation,Comedy,Family,Fantasy",2012,91,0.0
376,Enchanted,"Comedy,Family,Fantasy,Romance",2007,107,1.0
377,Safe House,"Action,Thriller",2012,115,1.0
378,102 Dalmatians,"Comedy,Family",2000,100,1.0
379,Tower Heist,"Action,Comedy",2011,104,1.0
380,The Holiday,"Comedy,Romance",2006,136,1.0
381,Enemy of the State,"Action,Drama,Thriller",1998,132,0.0
382,It's Complicated,"Comedy,Romance",2009,121,1.0
383,Ocean's Thirteen,"Crime,Thriller",2007,122,1.0
384,Open Season,"Adventure,Animation,Family",2006,83,0.0
385,Divergent,"Adventure,Action,Science Fiction",2014,139,1.0
386,Enemy at the Gates,War,2001,131,0.0
387,The Rundown,"Adventure,Action,Comedy,Thriller",2003,104,1.0
