,original_title,genre,release_year,runtime,overview,mood
29,Skyfall,Action,2012,2.5,"When Bond's latest assignment goes gravely wrong and agents around the world are exposed, MI6 is attacked forcing M to relocate the agency. These events cause her authority and position to be challenged by Gareth Mallory, the new Chairman of the Intelligence and Security Committee. With MI6 now compromised from both inside and out, M is left with one ally she can trust Bond. 007 takes to the shadows  aided only by field agent, Eve  following a trail to the mysterious Silva, whose lethal and hidden motives have yet to reveal themselves.",Happy
30,SpiderMan 2,Action,2004,2.0,"Peter Parker is going through a major identity crisis. Burned out from being SpiderMan, he decides to shelve his superhero alter ego, which leaves the city suffering in the wake of carnage left by the evil Doc Ock. In the meantime, Parker still can't act on his feelings for Mary Jane Watson, a girl he's loved since childhood.",Inspired
31,Iron Man 3,Action,2013,2.0,"When Tony Stark's world is torn apart by a formidable terrorist called the Mandarin, he starts an odyssey of rebuilding and retribution.",Happy
32,Alice in Wonderland,Family,2010,2.0,"Alice, an unpretentious and individual 19yearold, is betrothed to a dunce of an English nobleman. At her engagement party, she escapes the crowd to consider whether to go through with the marriage and falls down a hole in the garden after spotting an unusual rabbit. Arriving in a strange and surreal place called 'Underland,' she finds herself in a world that resembles the nightmares she had as a child, filled with talking animals, villainous queens and knights, and frumious bandersnatches. Alice realizes that she is there for a reason  to conquer the horrific Jabberwocky and restore the rightful queen to her throne.",Happy
33,XMen The Last Stand,Adventure,2006,1.5,"When a cure is found to treat mutations, lines are drawn amongst the XMen and The Brotherhood, a band of powerful mutants organized under Xavier's former ally, Magneto.",Happy
34,Monsters University,Animation,2013,1.5,A look at the relationship between Mike and Sulley during their days at Monsters University when they weren't necessarily the best of friends.,Happy
35,Transformers Revenge of the Fallen,Science Fiction,2009,2.5,"Sam Witwicky leaves the Autobots behind for a normal life. But when his mind is filled with cryptic symbols, the Decepticons target him and he is dragged back into the Transformers' war.",Happy
36,Oz The Great and Powerful,Fantasy,2013,2.0,"Oscar Diggs, a smalltime circus illusionist and conartist, is whisked from Kansas to the Land of Oz where the inhabitants assume he's the great wizard of prophecy, there to save Oz from the clutches of evil.",Happy
37,The Amazing SpiderMan 2,Action,2014,2.5,"For Peter Parker, life is busy. Between taking out the bad guys as SpiderMan and spending time with the person he loves, Gwen Stacy, high school graduation cannot come quickly enough. Peter has not forgotten about the promise he made to Gwens father to protect her by staying away, but that is a promise he cannot keep. Things will change for Peter when a new villain, Electro, emerges, an old friend, Harry Osborn, returns, and Peter uncovers new clues about his past.",Happy
38,TRON Legacy,Adventure,2010,2.0,"Sam Flynn, the techsavvy and daring son of Kevin Flynn, investigates his father's disappearance and is pulled into The Grid. With the help of a mysterious program named Quorra, Sam quests to stop evil dictator Clu from crossing into the real world.",Happy
39,Cars 2,Animation,2011,2.0,Star race car Lightning McQueen and his pal Mater head overseas to compete in the World Grand Prix race. But the road to the championship becomes rocky as Mater gets caught up in an intriguing adventure of his own international espionage.,Happy
40,Green Lantern,Adventure,2011,2.0,"For centuries, a small but powerful force of warriors called the Green Lantern Corps has sworn to keep intergalactic order. Each Green Lantern wears a ring that grants him superpowers. But when a new enemy called Parallax threatens to destroy the balance of power in the Universe, their fate and the fate of Earth lie in the hands of the first human ever recruited.",Happy
41,Toy Story 3,Animation,2010,1.5,"Woody, Buzz, and the rest of Andy's toys haven't been played with in years. With Andy about to go to college, the gang find themselves accidentally left at a nefarious day care center. The toys must band together to escape and return home to Andy.",Happy
42,Terminator Salvation,Action,2009,2.0,"All grown up in postapocalyptic 2018, John Connor must lead the resistance of humans against the increasingly dominating militaristic robots. But when Marcus Wright appears, his existence confuses the mission as Connor tries to determine whether Wright has come from the future or the past and whether he's friend or foe.",Happy
43,Furious 7,Action,2015,2.5,Deckard Shaw seeks revenge against Dominic Toretto and his family for his comatose brother.,Happy
44,World War Z,Action,2013,2.0,"Life for former United Nations investigator Gerry Lane and his family seems content. Suddenly, the world is plagued by a mysterious infection turning whole human populations into rampaging mindless zombies. After barely escaping the chaos, Lane is persuaded to go on a mission to investigate this disease. What follows is a perilous trek around the world where Lane must brave horrific dangers and long odds to find answers before human civilization falls.",Happy
45,XMen Days of Future Past,Action,2014,2.0,The ultimate XMen ensemble fights a war for the survival of the species across two time periods as they join forces with their younger selves in an epic battle that must change the past  to save our future.,Happy
46,Star Trek Into Darkness,Action,2013,2.0,"When the crew of the Enterprise is called back home, they find an unstoppable force of terror from within their own organization has detonated the fleet and everything it stands for, leaving our world in a state of crisis.  With a personal score to settle, Captain Kirk leads a manhunt to a warzone world to capture a one man weapon of mass destruction. As our heroes are propelled into an epic chess game of life and death, love will be challenged, friendships will be torn apart, and sacrifices must be made for the only family Kirk has left his crew.",Happy
47,Jack the Giant Slayer,Action,2013,2.0,"The story of an ancient war that is reignited when a young farmhand unwittingly opens a gateway between our world and a fearsome race of giants. Unleashed on the Earth for the first time in centuries, the giants strive to reclaim the land they once lost, forcing the young man, Jack into the battle of his life to stop them. Fighting for a kingdom, its people, and the love of a brave princess, he comes face to face with the unstoppable warriors he thought only existed in legend and gets the chance to become a legend himself.",Happy
48,The Great Gatsby,Drama,2013,2.5,"An adaptation of F. Scott Fitzgerald's Long Islandset novel, where Midwesterner Nick Carraway is lured into the lavish world of his neighbor, Jay Gatsby. Soon enough, however, Carraway will see through the cracks of Gatsby's nouveau riche existence, where obsession, madness, and tragedy await.",Happy
49,Prince of Persia The Sands of Time,Adventure,2010,2.0,"A rogue prince reluctantly joins forces with a mysterious princess and together, they race against dark forces to safeguard an ancient dagger capable of releasing the Sands of Time  gift from the gods that can reverse time and allow its possessor to rule the world.",Happy
50,Pacific Rim,Action,2013,2.0,"When legions of monstrous creatures, known as Kaiju, started rising from the sea, a war began that would take millions of lives and consume humanity's resources for years on end. To combat the giant Kaiju, a special type of weapon was devised massive robots, called Jaegers, which are controlled simultaneously by two pilots whose minds are locked in a neural bridge. But even the Jaegers are proving nearly defenseless in the face of the relentless Kaiju. On the verge of defeat, the forces defending mankind have no choice but to turn to two unlikely heroes washedup former pilot (Charlie Hunnam) and an untested trainee (Rinko Kikuchi) who are teamed to drive a legendary but seemingly obsolete Jaeger from the past. Together, they stand as mankind's last hope against the mounting apocalypse.",Happy
51,Transformers Dark of the Moon,Action,2011,2.5,"Sam Witwicky takes his first tenuous steps into adulthood while remaining a reluctant human ally of Autobotleader Optimus Prime. The film centers around the space race between the USSR and the USA, suggesting there was a hidden Transformers role in it all that remains one of the planet's most dangerous secrets.",Happy
52,Indiana Jones and the Kingdom of the Crystal Skull,Adventure,2008,2.0,"Set during the Cold War, the Soviets  led by swordwielding Irina Spalko  are in search of a crystal skull which has supernatural powers related to a mystical Lost City of Gold. After being captured and then escaping from them, Indy is coerced to head to Peru at the behest of a young man whose friend  and Indy's colleague  Professor Oxley has been captured for his knowledge of the skull's whereabouts.",Happy
53,The Good Dinosaur,Adventure,2015,1.5,An epic journey into the world of dinosaurs where an Apatosaurus named Arlo makes an unlikely human friend.,Happy
54,Brave,Animation,2012,1.5,"Brave is set in the mystical Scottish Highlands, where Marida is the princess of a kingdom ruled by King Fergus and Queen Elinor. An unruly daughter and an accomplished archer, Marida one day defies a sacred custom of the land and inadvertently brings turmoil to the kingdom. In an attempt to set things right, Marida seeks out an eccentric old Wise Woman and is granted an illfated wish. Also figuring into Maridas quest and serving as comic relief  are the kingdoms three lords the enormous Lord MacGuffin, the surly Lord Macintosh, and the disagreeable Lord Dingwall.",Sad
55,Star Trek Beyond,Action,2016,2.0,"The USS Enterprise crew explores the furthest reaches of uncharted space, where they encounter a mysterious new enemy who puts them and everything the Federation stands for to the test.",Happy
56,WALL·E,Animation,2008,1.5,"WALL·E is the last robot left on an Earth that has been overrun with garbage and all humans have fled to outer space. For 700 years he has continued to try and clean up the mess, but has developed some rather interesting humanlike qualities. When a ship arrives with a sleek new type of robot, WALL·E thinks he's finally found a friend and stows away on the ship when it leaves.",Happy
57,Rush Hour 3,Action,2007,1.5,"After an attempted assassination on Ambassador Han, Inspector Lee and Detective Carter are back in action as they head to Paris to protect a French woman with knowledge of the Triads' secret leaders. Lee also holds secret meetings with a United Nations authority, but his personal struggles with a Chinese criminal mastermind named Kenji, which reveals that it's Lee's longlostbrother.",Happy
58,A Christmas Carol,Animation,2009,1.5,"Miser Ebenezer Scrooge is awakened on Christmas Eve by spirits who reveal to him his own miserable existence, what opportunities he wasted in his youth, his current cruelties, and the dire fate that awaits him if he does not change his ways. Scrooge is faced with his own story of growing bitterness and meanness, and must decide what his own future will hold death or redemption.",Happy
59,Jupiter Ascending,Science Fiction,2015,2.0,"In a universe where human genetic material is the most precious commodity, an impoverished young Earth woman becomes the key to strategic maneuvers and internal strife within a powerful dynasty",Happy
60,The Legend of Tarzan,Action,2016,2.0,"Tarzan, having acclimated to life in London, is called back to his former home in the jungle to investigate the activities at a mining encampment.",Happy
61,"The Chronicles of Narnia The Lion, the Witch and the Wardrobe",Adventure,2005,2.5,"Siblings Lucy, Edmund, Susan and Peter step through a magical wardrobe and find the land of Narnia. There, the they discover a charming, once peaceful kingdom that has been plunged into eternal winter by the evil White Witch, Jadis. Aided by the wise and magnificent lion, Aslan, the children lead Narnia into a spectacular, climactic battle to be free of the Witch's glacial powers forever.",Happy
62,XMen Apocalypse,Science Fiction,2016,2.5,"After the reemergence of the world's first mutant, worlddestroyer Apocalypse, the XMen must unite to defeat his extinction level plan.",Happy
63,The Dark Knight,Drama,2008,2.5,"Batman raises the stakes in his war on crime. With the help of Lt. Jim Gordon and District Attorney Harvey Dent, Batman sets out to dismantle the remaining criminal organizations that plague the streets. The partnership proves to be effective, but they soon find themselves prey to a reign of chaos unleashed by a rising criminal mastermind known to the terrified citizens of Gotham as the Joker.",Happy
64,Up,Animation,2009,1.5,"Carl Fredricksen spent his entire life dreaming of exploring the globe and experiencing life to its fullest. But at age 78, life seems to have passed him by, until a twist of fate (and a persistent 8year old Wilderness Explorer named Russell) gives him a new lease on life.",Happy
65,Monsters vs Aliens,Animation,2009,1.5,"When Susan Murphy is unwittingly clobbered by a meteor full of outer space gunk on her wedding day, she mysteriously grows to 49feet11inches. The military jumps into action and captures Susan, secreting her away to a covert government compound. She is renamed Ginormica and placed in confinement with a ragtag group of Monsters",Happy
66,Iron Man,Action,2008,2.0,"After being held captive in an Afghan cave, billionaire engineer Tony Stark creates a unique weaponized suit of armor to fight evil.",Happy
67,Hugo,Adventure,2011,2.0,"Hugo is an orphan boy living in the walls of a train station in 1930s Paris. He learned to fix clocks and other gadgets from his father and uncle which he puts to use keeping the train station clocks running. The only thing that he has left that connects him to his dead father is an automaton (mechanical man) that doesn't work without a special key which Hugo needs to find to unlock the secret he believes it contains. On his adventures, he meets with a shopkeeper, George Melies, who works in the train station and his adventureseeking goddaughter. Hugo finds that they have a surprising connection to his father and the automaton, and he discovers it unlocks some memories the old man has buried inside regarding his past.",Happy
68,Wild Wild West,Action,1999,2.0,Legless Southern inventor Dr. Arliss Loveless plans to rekindle the Civil War by assassinating President U.S. Grant. Only two men can stop him gunfighter James West and masterofdisguise and inventor Artemus Gordon. The two must team up to thwart Loveless' plans.,Happy
69,Suicide Squad,Action,2016,2.0,"From DC Comics comes the Suicide Squad, an antihero team of incarcerated supervillains who act as deniable assets for the United States government, undertaking highrisk black ops missions in exchange for commuted prison sentences.",Happy
70,Evan Almighty,Fantasy,2007,1.5,God contacts Congressman Evan Baxter and tells him to build an ark in preparation for a great flood.,Happy
71,Edge of Tomorrow,Action,2014,2.0,"Major Bill Cage is an officer who has never seen a day of combat when he is unceremoniously demoted and dropped into combat. Cage is killed within minutes, managing to take an alpha alien down with him. He awakens back at the beginning of the same day and is forced to fight and die again and again  as physical contact with the alien has thrown him into a time loop.",Happy
72,Waterworld,Adventure,1995,2.0,"In a futuristic world where the polar ice caps have melted and made Earth a liquid planet, a beautiful barmaid rescues a mutant seafarer from a floating island prison. They escape, along with her young charge, Enola, and sail off aboard his ship. But the trio soon becomes the target of a menacing pirate who covets the map to 'Dryland'  which is tattooed on Enola's back.",Happy
73,G.I. Joe The Rise of Cobra,Adventure,2009,2.0,"From the Egyptian desert to deep below the polar ice caps, the elite G.I. JOE team uses the latest in nextgeneration spy and military equipment to fight the corrupt arms dealer Destro and the growing threat of the mysterious Cobra organization to prevent them from plunging the world into chaos.",Happy
74,Inside Out,Drama,2015,1.5,"Growing up can be a bumpy road, and it's no exception for Riley, who is uprooted from her Midwest life when her father starts a new job in San Francisco. Like all of us, Riley is guided by her emotions  Joy, Fear, Anger, Disgust and Sadness. The emotions live in Headquarters, the control center inside Riley's mind, where they help advise her through everyday life. As Riley and her emotions struggle to adjust to a new life in San Francisco, turmoil ensues in Headquarters. Although Joy, Riley's main and most important emotion, tries to keep things positive, the emotions conflict on how best to navigate a new city, house and school.",Happy
75,The Jungle Book,Family,2016,2.0,"After a threat from the tiger Shere Khan forces him to flee the jungle, a mancub named Mowgli embarks on a journey of self discovery with the help of panther, Bagheera, and free spirited bear, Baloo.",Happy
76,Iron Man 2,Adventure,2010,2.0,"With the world now aware of his dual life as the armored superhero Iron Man, billionaire inventor Tony Stark faces pressure from the government, the press and the public to share his technology with the military. Unwilling to let go of his invention, Stark, with Pepper Potts and James 'Rhodey' Rhodes at his side, must forge new alliances  and confront powerful enemies.",Happy
77,Snow White and the Huntsman,Adventure,2012,2.0,"After the Evil Queen marries the King, she performs a violent coup in which the King is murdered and his daughter, Snow White, is taken captive. Almost a decade later, a grown Snow White is still in the clutches of the Queen. In order to obtain immortality, The Evil Queen needs the heart of Snow White. After Snow escapes the castle, the Queen sends the Huntsman to find her in the Dark Forest.",Happy
78,Maleficent,Fantasy,2014,1.5,"The untold story of Disney's most iconic villain from the 1959 classic 'Sleeping Beauty'. A beautiful, purehearted young woman, Maleficent has an idyllic life growing up in a peaceable forest kingdom, until one day when an invading army threatens the harmony of the land.  Maleficent rises to be the land's fiercest protector, but she ultimately suffers a ruthless betrayal  an act that begins to turn her heart into stone. Bent on revenge, Maleficent faces an epic battle with the invading King's successor and, as a result, places a curse upon his newborn infant Aurora. As the child grows, Maleficent realizes that Aurora holds the key to peace in the kingdom  and to Maleficent's true happiness as well.",Happy
79,Dawn of the Planet of the Apes,Science Fiction,2014,2.0,"A group of scientists in San Francisco struggle to stay alive in the aftermath of a plague that is wiping out humanity, while Caesar tries to maintain dominance over his community of intelligent apes.",Happy
80,47 Ronin,Drama,2013,2.0,"Based on the original 1941 movie from Japan, and from ancient Japans most enduring tale, the epic 3D fantasyadventure 47 Ronin is born.  Keanu Reeves leads the cast as Kai, an outcast who joins Oishi (Hiroyuki Sanada), the leader of the 47 outcast samurai.  Together they seek vengeance upon the treacherous overlord who killed their master and banished their kind.  To restore honor to their homeland, the warriors embark upon a quest that challenges them with a series of trials that would destroy ordinary warriors.",Happy
81,Captain America The Winter Soldier,Action,2014,2.5,"After the cataclysmic events in New York with The Avengers, Steve Rogers, aka Captain America is living quietly in Washington, D.C. and trying to adjust to the modern world. But when a S.H.I.E.L.D. colleague comes under attack, Steve becomes embroiled in a web of intrigue that threatens to put the world at risk. Joining forces with the Black Widow, Captain America struggles to expose the everwidening conspiracy while fighting off professional assassins sent to silence him at every turn. When the full scope of the villainous plot is revealed, Captain America and the Black Widow enlist the help of a new ally, the Falcon. However, they soon find themselves up against an unexpected and formidable enemythe Winter Soldier.",Happy
82,Shrek Forever After,Comedy,2010,1.5,"A bored and domesticated Shrek pacts with dealmaker Rumpelstiltskin to get back to feeling like a real ogre again, but when he's duped and sent to a twisted version of Far Far Away where Rumpelstiltskin is king, ogres are hunted, and he and Fiona have never met he sets out to restore his world and reclaim his true love.",Sad
83,Big Hero 6,Adventure,2014,1.5,"The special bond that develops between plussized inflatable robot Baymax, and prodigy Hiro Hamada, who team up with a group of friends to form a band of hightech heroes.",Happy
84,WreckIt Ralph,Family,2012,2.0,"WreckIt Ralph is the 9foottall, 643pound villain of an arcade video game named FixIt Felix Jr., in which the game's titular hero fixes buildings that Ralph destroys. Wanting to prove he can be a good guy and not just a villain, Ralph escapes his game and lands in Hero's Duty, a firstperson shooter where he helps the game's hero battle against alien invaders. He later enters Sugar Rush, a kart racing game set on tracks made of candies, cookies and other sweets. There, Ralph meets Vanellope von Schweetz who has learned that her game is faced with a dire threat that could affect the entire arcade, and one that Ralph may have inadvertently started.",Happy
85,The Polar Express,Adventure,2004,1.5,"When a doubting young boy takes an extraordinary train ride to the North Pole, he embarks on a journey of selfdiscovery that shows him that the wonder of life never fades for those who believe.",Happy
86,Independence Day Resurgence,Action,2016,2.0,"We always knew they were coming back. Using recovered alien technology, the nations of Earth have collaborated on an immense defense program to protect the planet. But nothing can prepare us for the aliens advanced and unprecedented force. Only the ingenuity of a few brave men and women can bring our world back from the brink of extinction.",Happy
87,How to Train Your Dragon,Fantasy,2010,1.5,"As the son of a Viking leader on the cusp of manhood, shy Hiccup Horrendous Haddock III faces a rite of passage he must kill a dragon to prove his warrior mettle. But after downing a feared dragon, he realizes that he no longer wants to destroy it, and instead befriends the beast  which he names Toothless  much to the chagrin of his warrior father",Happy
88,Terminator 3 Rise of the Machines,Action,2003,2.0,"It's been 10 years since John Connor saved Earth from Judgment Day, and he's now living under the radar, steering clear of using anything Skynet can trace. That is, until he encounters TX, a robotic assassin ordered to finish what T1000 started. Good thing Connor's former nemesis, the Terminator, is back to aid the nowadult Connor  just like he promised.",Happy
89,Guardians of the Galaxy,Action,2014,2.0,"Light years from Earth, 26 years after being abducted, Peter Quill finds himself the prime target of a manhunt after discovering an orb wanted by Ronan the Accuser.",Happy
90,Interstellar,Adventure,2014,3.0,Interstellar chronicles the adventures of a group of explorers who make use of a newly discovered wormhole to surpass the limitations on human space travel and conquer the vast distances involved in an interstellar voyage.,Happy
91,The Hobbit An Unexpected Journey,Adventure,2012,3.0,"Bilbo Baggins, a hobbit enjoying his quiet life, is swept into an epic quest by Gandalf the Grey and thirteen dwarves who seek to reclaim their mountain home from Smaug, the dragon.",Happy
92,The Fast and the Furious,Action,2001,2.0,"Domenic Toretto is a Los Angeles street racer suspected of masterminding a series of bigrig hijackings. When undercover cop Brian O'Conner infiltrates Toretto's iconoclastic crew, he falls for Toretto's sister and must choose a side the gang or the LAPD.",Happy
93,The Curious Case of Benjamin Button,Fantasy,2008,3.0,"Tells the story of Benjamin Button, a man who starts aging backwards with bizarre consequences.",Happy
94,XMen First Class,Action,2011,2.0,"Before Charles Xavier and Erik Lensherr took the names Professor X and Magneto, they were two young men discovering their powers for the first time. Before they were archenemies, they were closest of friends, working together with other mutants (some familiar, some new), to stop the greatest threat the world has ever known.",Happy
95,The Hunger Games Mockingjay  Part 2,Action,2015,2.5,"With the nation of Panem in a full scale war, Katniss confronts President Snow in the final showdown. Teamed with a group of her closest friends  including Gale, Finnick, and Peeta  Katniss goes off on a mission with the unit from District 13 as they risk their lives to stage an assassination attempt on President Snow who has become increasingly obsessed with destroying her. The mortal traps, enemies, and moral choices that await Katniss will challenge her more than any arena she faced in The Hunger Games.",Happy
